	gene	condition	method	batch	total	modrate	FE
0	GUA1	WT	nanopolish	35mM_NAIN3	6806	0.8486638542389751	6.012301940315575
1	GUA1	WT	nanopolish	50mM_NAIN3	7410	1.2636467329313996	8.95222020630271
2	GUA1	WT	nanopolish	100mM_1AI	10312	0.5757216936833939	4.078661579287362
3	GUA1	WT	nanopolish	50mM_kethoxal	185	0.32716927453769556	2.3178086992741505
4	GUA1	WT	nanopolish	Unmodified	64612	0.141154563204527	1.0
5	RIBD	WT	nanopolish	35mM_NAIN3	57922	0.6253134887389393	5.305519933492635
6	RIBD	WT	nanopolish	50mM_NAIN3	25317	0.8941750186581515	7.586696066782848
7	RIBD	WT	nanopolish	100mM_1AI	109787	0.3914577653475414	3.321353232536677
8	RIBD	WT	nanopolish	50mM_kethoxal	11060	0.19948010849909584	1.6925041775631242
9	RIBD	WT	nanopolish	Unmodified	101974	0.11786092533390864	1.0
10	SAM1	WT	nanopolish	35mM_NAIN3	17207	1.0949700161749858	5.7653315641479095
11	SAM1	WT	nanopolish	50mM_NAIN3	13204	1.6298703009251856	8.581735164051782
12	SAM1	WT	nanopolish	100mM_1AI	32433	0.6615501464749212	3.4832514903577203
13	SAM1	WT	nanopolish	50mM_kethoxal	3581	0.3288144295028454	1.7313023929023177
14	SAM1	WT	nanopolish	Unmodified	225127	0.1899231646943132	1.0
15	TPP1-ThiM	WT	nanopolish	35mM_NAIN3	41726	1.0445093560342666	8.06425391047858
16	TPP1-ThiM	WT	nanopolish	50mM_NAIN3	22208	1.6387184372223345	12.651913062528873
17	TPP1-ThiM	WT	nanopolish	100mM_1AI	57547	0.6476470853202309	5.000233372952559
18	TPP1-ThiM	WT	nanopolish	50mM_kethoxal	5505	0.22936289566210757	1.770822460877183
19	TPP1-ThiM	WT	nanopolish	Unmodified	296061	0.12952337161371438	1.0
20	YKOK	WT	nanopolish	35mM_NAIN3	100405	0.5422161284262713	6.207550078369337
21	YKOK	WT	nanopolish	50mM_NAIN3	59637	0.895813523884825	10.255702512087295
22	YKOK	WT	nanopolish	100mM_1AI	140727	0.342556271550683	3.9217483561068502
23	YKOK	WT	nanopolish	50mM_kethoxal	21933	0.1697072995818678	1.942890492536352
24	YKOK	WT	nanopolish	Unmodified	249336	0.08734784602312966	1.0
25	YVRC	WT	nanopolish	35mM_NAIN3	148584	0.6171329243483319	6.252466669027649
26	YVRC	WT	nanopolish	50mM_NAIN3	77764	0.938489175825672	9.508279431517101
27	YVRC	WT	nanopolish	100mM_1AI	233069	0.42856473431312037	4.341992804294169
28	YVRC	WT	nanopolish	50mM_kethoxal	31994	0.17287905347798932	1.7515197731276229
29	YVRC	WT	nanopolish	Unmodified	385995	0.09870231334544725	1.0
30	DEN-WT	WT	nanopolish	35mM_NAIN3	72956	0.6925082146820662	4.223000628938298
31	DEN-WT	WT	nanopolish	50mM_NAIN3	48669	1.0388038197507299	6.334754001676169
32	DEN-WT	WT	nanopolish	100mM_1AI	99593	0.4349556141772878	2.652413059207134
33	DEN-WT	WT	nanopolish	50mM_kethoxal	19122	0.2512339100296102	1.5320554147545582
34	DEN-WT	WT	nanopolish	Unmodified	308293	0.16398487131084546	1.0
35	FTL6-WT	WT	nanopolish	35mM_NAIN3	75401	0.980988933619593	5.49351611686157
36	FTL6-WT	WT	nanopolish	50mM_NAIN3	41835	1.4782972443502165	8.278431549054694
37	FTL6-WT	WT	nanopolish	100mM_1AI	107775	0.6751312185640951	3.780719744200967
38	FTL6-WT	WT	nanopolish	50mM_kethoxal	24209	0.29295223864437253	1.6405259930155387
39	FTL6-WT	WT	nanopolish	Unmodified	370622	0.17857214082044584	1.0
40	MRPS21-Father	WT	nanopolish	35mM_NAIN3	129436	0.846156364829686	5.2823461404128675
41	MRPS21-Father	WT	nanopolish	50mM_NAIN3	59288	1.2985844722452469	8.106743576106588
42	MRPS21-Father	WT	nanopolish	100mM_1AI	224452	0.6252529971409732	3.903300729639945
43	MRPS21-Father	WT	nanopolish	50mM_kethoxal	39421	0.24745693919484538	1.544812828935437
44	MRPS21-Father	WT	nanopolish	Unmodified	285279	0.160185709595235	1.0
45	TETRA-WT	WT	nanopolish	35mM_NAIN3	22933	0.4073624364603156	2.5596392522132105
46	TETRA-WT	WT	nanopolish	50mM_NAIN3	13059	0.5500342952931142	3.4561099558644273
47	TETRA-WT	WT	nanopolish	100mM_1AI	30504	0.3054932089432763	1.91954961702012
48	TETRA-WT	WT	nanopolish	50mM_kethoxal	3540	0.2451789524538025	1.5405683350934245
49	TETRA-WT	WT	nanopolish	Unmodified	48387	0.15914837847094537	1.0
