	transcript	cluster0_Nolig	cluster0_Lig	cluster1_Nolig	cluster1_Lig	type	population_change
36	orf19.6375::RPS20	35.75	16.85	14.25	33.15	vivo_cov1000	37.8
180	orf19.3014::BMH1	42.6	31.55	7.4	18.45	vivo_cov1000	22.1
186	orf19.1065::SSA2	24.1	15.2	25.9	34.8	vivo_cov1000	17.800000000000004
129	orf19.6415.1::orf19.6415.1	40.6	33.55	9.4	16.45	vivo_cov1000	14.100000000000009
54	orf19.3325.3::RPS21B	30.55	24.35	19.45	25.65	vivo_cov1000	12.399999999999999
69	orf19.2803::HEM13	23.0	17.25	27.0	32.75	vivo_cov1000	11.5
143	orf19.3264.1::orf19.3264.1	40.1	34.5	9.9	15.5	vivo_cov1000	11.200000000000003
138	orf19.6002::RPL8B	27.55	22.0	22.45	28.0	vivo_cov1000	11.100000000000001
146	orf19.4909.1::RPL42	21.6	16.45	28.4	33.55	vivo_cov1000	10.300000000000004
179	orf19.6814::TDH3	22.15	17.05	27.85	32.95	vivo_cov1000	10.199999999999996
140	orf19.6264.4::orf19.6264.4	38.15	33.1	11.85	16.9	vivo_cov1000	10.099999999999994
99	orf19.2310.1::RPL29	18.85	13.9	31.15	36.1	vivo_cov1000	9.900000000000002
100	orf19.4632::RPL20B	34.8	29.95	15.2	20.05	vivo_cov1000	9.699999999999996
182	orf19.6663::RPS25B	24.35	19.7	25.65	30.3	vivo_cov1000	9.300000000000004
120	orf19.6852.1::orf19.6852.1	32.85	28.2	17.15	21.8	vivo_cov1000	9.300000000000004
141	orf19.2767::PGA59	38.7	34.1	11.3	15.9	vivo_cov1000	9.200000000000003
78	orf19.930::PET9	21.05	16.45	28.95	33.55	vivo_cov1000	9.200000000000003
97	orf19.7217::RPL4B	15.05	10.55	34.95	39.45	vivo_cov1000	9.0
124	orf19.4931.1::RPL14	22.95	18.55	27.05	31.45	vivo_cov1000	8.799999999999997
80	orf19.3334::RPS21	36.15	31.8	13.85	18.2	vivo_cov1000	8.699999999999996
175	orf19.6253::RPS23A	20.3	16.15	29.7	33.85	vivo_cov1000	8.300000000000004
70	orf19.493::RPL15A	21.0	16.85	29.0	33.15	vivo_cov1000	8.299999999999997
7	orf19.3504::RPL23A	26.7	22.7	23.3	27.3	vivo_cov1000	8.0
193	orf19.5228::RIB3	25.4	21.6	24.6	28.4	vivo_dmso500	7.599999999999994
155	orf19.5213.1::COX8	33.6	29.9	16.4	20.1	vivo_cov1000	7.400000000000006
158	orf19.4371::TAL1	39.45	35.75	10.55	14.25	vivo_cov1000	7.400000000000006
34	orf19.3003.1::RPL6	29.75	26.05	20.25	23.95	vivo_cov1000	7.399999999999999
64	orf19.4618::FBA1	27.75	24.25	22.25	25.75	vivo_cov1000	7.0
122	orf19.4225.1::orf19.4225.1	23.85	20.4	26.15	29.6	vivo_cov1000	6.900000000000006
42	orf19.819::orf19.819	29.7	26.4	20.3	23.6	vivo_cov1000	6.600000000000001
28	orf19.6873::RPS8A	22.8	19.5	27.2	30.5	vivo_cov1000	6.600000000000001
14	orf19.4684.2::RPL40B	41.25	38.05	8.75	11.95	vivo_cov1000	6.400000000000006
178	orf19.3572.3::orf19.3572.3	44.6	41.4	5.4	8.6	vivo_cov1000	6.400000000000006
46	orf19.5996.1::RPS19A	28.05	24.9	21.95	25.1	vivo_cov1000	6.300000000000004
