	Unnamed: 0	gene	population_change	strgroup	id_x	homo_30C	homo_37C	transcript1_x	Name	halflife_x	halflife_y	cluster30_cluster37	fast_slow_37	Gene name	30TE	37TE	37/30 TE	TEgroup	id_y	Norm_reactivity_x	Norm_reactivity_y	gini_x	gini_y	GC_3UTR_seq	length	transcript1_y
0	0	RPS20	37.8	structure_change	orf19.6375::RPS20	0.8730525073434929	0.8640560725122314	orf19.6375	orf19.6375::RPS20		20.0	Other:Decay	faster	RPS20	1.38798046	1.458767247	1.050999844	Up	orf19.6375::RPS20	0.3095272320715541	0.3790129372304743	0.5610203248932678	0.4588049910384839	31.123919308357348	347	orf19.6375
1	1	BMH1	22.1	structure_change	orf19.3014::BMH1		0.7220562896503973	orf19.3014	orf19.3014::BMH1		20.0	Other:Decay	faster	BMH1	1.272535978	0.895923099	0.704045397	Down	orf19.3014::BMH1					27.528089887640448	356	orf19.3014
2	2	SSA2	17.800000000000004	structure_change	orf19.1065::SSA2		0.6277881144039081	orf19.1065						SSA2	1.686668551	1.145334438	0.67905128	Down	orf19.1065::SSA2					15.306122448979592	98	orf19.1065
3	3	orf19.6415.1	14.100000000000009	structure_change	orf19.6415.1::orf19.6415.1	0.8119540266796371	0.8479337929306696	orf19.6415.1	orf19.6415.1::orf19.6415.1		20.0	Other:Decay	faster						orf19.6415.1::orf19.6415.1	0.3158441143587286	0.3726960549432997	0.5173428276019636	0.4464135739319489	22.82157676348548	241	orf19.6415.1
4	4	RPS21B	12.4	structure_change	orf19.3325.3::RPS21B	0.7076529084115188	0.8066279613137002	orf19.3325.3	orf19.3325.3::RPS21B		20.0	Other:Decay	faster	RPS21B	0.856280235	0.77888651	0.909616359	Down	orf19.3325.3::RPS21B	0.363220731512538	0.3190025555023159	0.523231119495848	0.4754391877678782	20.40816326530612	147	orf19.3325.3
5	5	HEM13	11.5	structure_change	orf19.2803::HEM13	0.7167026192674006	0.7586687503102137	orf19.2803	orf19.2803::HEM13	>120		Up:Other	faster	HEM13	1.479926397	1.717156563	1.160298625	Up	orf19.2803::HEM13	0.2779428206356812	0.3032103497843795	0.4983490383683135	0.4602135295101209	27.966101694915253	236	orf19.2803
6	6	orf19.3264.1	11.200000000000005	structure_change	orf19.3264.1::orf19.3264.1	0.8148418888304044	0.7734455864175873	orf19.3264.1	orf19.3264.1::orf19.3264.1		40.0	Other:Decay	faster						orf19.3264.1::orf19.3264.1	0.3190025555023159	0.3474285257946015	0.5097905304279239	0.473788841649048	18.6046511627907	258	orf19.3264.1
7	7	RPL8B	11.1	structure_change	orf19.6002::RPL8B	0.4901218364249761	0.5182284564107592	orf19.6002	orf19.6002::RPL8B		20.0	Other:Decay	faster	RPL8B	0.897635919	0.769434418	0.857178731	Down	orf19.6002::RPL8B	0.3790129372304743	0.3158441143587286	0.4601940882090461	0.4283274343735718	21.951219512195124	82	orf19.6002
8	8	RPL42	10.300000000000004	structure_change	orf19.4909.1::RPL42	0.6333475138928423	0.71066970258017	orf19.4909.1	orf19.4909.1::RPL42		20.0	Other:Decay	faster	RPL42	0.553805826	0.668610021	1.207300446	Up	orf19.4909.1::RPL42	0.4137557898099345	0.4074389075227599	0.4199454637820174	0.4021578011102003	27.74869109947644	191	orf19.4909.1
9	9	TDH3	10.199999999999996	structure_change	orf19.6814::TDH3	0.8339866691408794	0.6778153080947433	orf19.6814						TDH3	2.003376695	1.24023636	0.61907297	Down	orf19.6814::TDH3	0.473766171538093	0.4863999361124421	0.4697605125446865	0.4114329242331113	22.78481012658228	158	orf19.6814
10	10	orf19.6264.4	10.099999999999994	structure_change	orf19.6264.4::orf19.6264.4	0.7874726245322954	0.8275383831714471	orf19.6264.4	orf19.6264.4::orf19.6264.4		20.0	Other:Decay	faster						orf19.6264.4::orf19.6264.4	0.3158441143587286	0.3411116435074269	0.4722779185304055	0.4392250002444327	27.906976744186046	215	orf19.6264.4
11	11	RPL29	9.900000000000002	structure_change	orf19.2310.1::RPL29	0.7128794330583559	0.753457411121476	orf19.2310.1	orf19.2310.1::RPL29		20.0	Other:Decay	faster	RPL29	1.646421339	1.56288636	0.949262697	Down	orf19.2310.1::RPL29	0.2811012617792685	0.2811012617792685	0.5015437187338296	0.5099329692198588	19.852941176470587	136	orf19.2310.1
12	12	RPL20B	9.699999999999996	structure_change	orf19.4632::RPL20B	0.7416529606949669	0.7522634090453739	orf19.4632	orf19.4632::RPL20B		20.0	Other:Decay	faster	RPL20B	0.950994832	1.224633874	1.287739778	Up	orf19.4632::RPL20B	0.3821713783740617	0.4105973486663472	0.5063510830794786	0.4243928422973857	20.0836820083682	239	orf19.4632
13	13	RPS25B	9.300000000000004	structure_change	orf19.6663::RPS25B	0.7020579956585616	0.7658571354277184	orf19.6663	orf19.6663::RPS25B		20.0	Other:Decay	faster	RPS25B	1.169383674	1.327053607	1.134831653	Up	orf19.6663::RPS25B	0.3190025555023159	0.3284778789330778	0.4699913439303339	0.455073130045237	20.72072072072072	222	orf19.6663
14	14	orf19.6852.1	9.300000000000004	structure_change	orf19.6852.1::orf19.6852.1	0.7471173875083288	0.7544348430373423	orf19.6852.1	orf19.6852.1::orf19.6852.1	>120		Up:Other	faster						orf19.6852.1::orf19.6852.1	0.2716259383485066	0.2779428206356812	0.4902080612310581	0.4918039206490607	29.225352112676056	284	orf19.6852.1
15	15	PGA59	9.200000000000005	structure_change	orf19.2767::PGA59	0.7730877841007358	0.7743805050545509	orf19.2767	orf19.2767::PGA59	20.0	40.0	Decay:Decay	slower	PGA59	2.518183404	1.392446687	0.55295682	Down	orf19.2767::PGA59	0.4863999361124421	0.5306181121226642	0.4428553329198599	0.3881737173604033	20.24922118380062	321	orf19.2767
16	16	PET9	9.200000000000005	structure_change	orf19.930::PET9	0.7679285097192802	0.7071546733526031	orf19.930						PET9	1.265229484	0.95355678	0.753663104	Down	orf19.930::PET9	0.3979635840919981	0.3474285257946015	0.5953608891600498	0.4749147323059191	16.25	160	orf19.930
17	17	RPL4B	9.0	structure_change	orf19.7217::RPL4B		0.7635931395083095	orf19.7217	orf19.7217::RPL4B		20.0	Other:Decay	faster	RPL4B	1.805302987	1.002323756	0.555210822	Down	orf19.7217::RPL4B					24.545454545454547	220	orf19.7217
18	18	RPL14	8.799999999999997	structure_change	orf19.4931.1::RPL14	0.7020288705895568	0.7650724050683537	orf19.4931.1						RPL14	0.643008683	0.670814377	1.043243108	Up	orf19.4931.1::RPL14	0.3221609966459032	0.3032103497843795	0.4425904640451847	0.4599525612137824	25.87719298245614	228	orf19.4931.1
19	19	RPS21	8.699999999999996	structure_change	orf19.3334::RPS21	0.760663255022202	0.6556189340921357	orf19.3334	orf19.3334::RPS21		20.0	Other:Decay	faster	RPS21	0.836714574	0.604757491	0.722776332	Down	orf19.3334::RPS21	0.6885401693020284	0.6885401693020284	0.4151993067233443	0.4114740074192283	28.368794326241133	141	orf19.3334
20	20	RPS23A	8.300000000000004	structure_change	orf19.6253::RPS23A	0.7575172364562193	0.726497163391771	orf19.6253	orf19.6253::RPS23A		20.0	Other:Decay	faster	RPS23A	1.290894975	0.868922856	0.673116615	Down	orf19.6253::RPS23A	0.3790129372304743	0.4548155246765692	0.4416031361333318	0.4131461079315204	23.529411764705884	170	orf19.6253
21	21	RPL15A	8.299999999999997	structure_change	orf19.493::RPL15A	0.7500126234695978	0.7871633625111388	orf19.493	orf19.493::RPL15A		20.0	Other:Decay	faster	RPL15A	1.154193068	0.9162755	0.79386675	Down	orf19.493::RPL15A	0.353745408081776	0.3284778789330778	0.5542123278182304	0.446501302767857	22.727272727272727	154	orf19.493
22	22	RPL23A	8.0	structure_change	orf19.3504::RPL23A	0.6422417130736302	0.632918510581975	orf19.3504	orf19.3504::RPL23A		20.0	Other:Decay	faster	RPL23A	0.69042359	0.807698184	1.169858903	Up	orf19.3504::RPL23A	0.2084571154767609	0.22109088005111	0.5569613495097185	0.547591681624659	13.20754716981132	106	orf19.3504
23	23	RIB3	7.599999999999994	structure_change										RIB3	1.434014442	0.953533238	0.664939773	Down	orf19.5228::RIB3					22.448979591836736	98	orf19.5228
24	24	COX8	7.400000000000006	structure_change	orf19.5213.1::COX8		0.697558852396767	orf19.5213.1	orf19.5213.1::COX8		20.0	Other:Decay	faster	COX8	1.675840249	1.388603841	0.828601558	Down	orf19.5213.1::COX8					21.98581560283688	141	orf19.5213.1
25	25	TAL1	7.400000000000006	structure_change	orf19.4371::TAL1	0.7382789974070209	0.7244719756171493	orf19.4371						TAL1	1.566971902	1.399767773	0.89329475	Down	orf19.4371::TAL1	0.2337246446254592	0.2400415269126337	0.5396777480411816	0.5319497509475317	27.358490566037737	106	orf19.4371
26	26	RPL6	7.399999999999999	structure_change	orf19.3003.1::RPL6	0.8079896914667064	0.806008107359874	orf19.3003.1	orf19.3003.1::RPL6		20.0	Other:Decay	faster	RPL6	0.291268443	0.580827597	1.994131568	Up	orf19.3003.1::RPL6	0.3442700846510142	0.3600622903689506	0.510763341152076	0.4439641655833121	25.49668874172185	302	orf19.3003.1
27	27	FBA1	7.0	structure_change	orf19.4618::FBA1	0.4399575500494575	0.4417055400928433	orf19.4618						FBA1	1.575716577	1.103545176	0.700344968	Down	orf19.4618::FBA1	0.3979635840919981	0.4548155246765692	0.4593157022037008	0.4966841161563338	24.56140350877193	57	orf19.4618
28	28	orf19.4225.1	6.900000000000006	structure_change	orf19.4225.1::orf19.4225.1		0.7292898096996803	orf19.4225.1	orf19.4225.1::orf19.4225.1		20.0	Other:Decay	faster						orf19.4225.1::orf19.4225.1					30.516431924882628	213	orf19.4225.1
29	29	orf19.819	6.600000000000001	structure_change					orf19.819::orf19.819		60.0	Other:Decay	faster						orf19.819::orf19.819					25.42372881355932	236	orf19.819
30	30	RPS8A	6.600000000000001	structure_change	orf19.6873::RPS8A	0.7390171032630459	0.8006704937407703	orf19.6873	orf19.6873::RPS8A		20.0	Other:Decay	faster	RPS8A	1.242523649	0.825006376	0.663976397	Down	orf19.6873::RPS8A	0.3726960549432997	0.3474285257946015	0.4344587103677991	0.4409705241159899	28.64864864864865	185	orf19.6873
31	31	RPL40B	6.400000000000006	structure_change	orf19.4684.2::RPL40B	0.8137373903269565	0.8188710915773951	orf19.4684.2	orf19.4684.2::RPL40B		20.0	Other:Decay	faster	RPL40B	1.093953095	1.804269116	1.649311222	Up	orf19.4684.2::RPL40B	0.2716259383485066	0.3790129372304743	0.5461496402181114	0.4111408581183519	26.68810289389068	311	orf19.4684.2
32	32	orf19.3572.3	6.400000000000006	structure_change	orf19.3572.3::orf19.3572.3	0.841924491544277	0.7515494493908634	orf19.3572.3	orf19.3572.3::orf19.3572.3		20.0	Other:Decay	faster						orf19.3572.3::orf19.3572.3	0.3505869669381888	0.3695376137997125	0.5189862861380474	0.4506758501493952	21.359223300970875	103	orf19.3572.3
33	33	RPS19A	6.300000000000004	structure_change	orf19.5996.1::RPS19A	0.8434815611354722	0.8109657285376374	orf19.5996.1	orf19.5996.1::RPS19A		20.0	Other:Decay	faster	RPS19A	0.359234916	0.677264487	1.885296938	Up	orf19.5996.1::RPS19A	0.353745408081776	0.353745408081776	0.5483764057658924	0.4519904659483386	20.97560975609756	205	orf19.5996.1
34	34	TEF1	6.300000000000004	structure_change	orf19.1435::TEF1	0.6519671069431092	0.5728437659694965	orf19.1435	orf19.1435::TEF1		20.0	Other:Decay	faster	TEF1	0.467452435	0.528334861	1.130243039	Up	orf19.1435::TEF1	0.4263895543842836	0.4548155246765692	0.5071594314709812	0.4365194068429883	13.88888888888889	108	orf19.1435
35	35	FAS2	6.299999999999997	structure_change										FAS2	1.13546582	0.844153057	0.743442068	Down	orf19.5949::FAS2					22.352941176470587	85	orf19.5949
36	36	orf19.1052	5.800000000000004	structure_change	orf19.1052::orf19.1052	0.7025615645269903	0.7218288533998731	orf19.1052	orf19.1052::orf19.1052		20.0	Other:Decay	faster						orf19.1052::orf19.1052	0.4484986423893946	0.4737661715380929	0.4590063138506391	0.4522250822765214	22.058823529411764	136	orf19.1052
37	37	GSY1	5.799999999999997	structure_change	orf19.3278::GSY1	0.6267328057422004	0.6498723460510616	orf19.3278						GSY1	0.677083333	0.66589711	0.983478809	Down	orf19.3278::GSY1	0.2147739977639355	0.2463584091998083	0.5654155102997537	0.5474866968953431	22.764227642276424	123	orf19.3278
38	38	CDC19	5.700000000000003	structure_change	orf19.3575::CDC19	0.5835930249234857	0.523416527223844	orf19.3575						CDC19	1.922514509	1.499480735	0.779958085	Down	orf19.3575::CDC19	0.4232311132406964	0.4484986423893947	0.4009729638533764	0.3483246971161097	33.333333333333336	78	orf19.3575
39	39	ANB1	5.599999999999994	structure_change	orf19.3426::ANB1	0.7829087277612867	0.7839383547506331	orf19.3426	orf19.3426::ANB1	40.0	20.0	Decay:Decay	faster	ANB1	0.974400855	1.227604175	1.259855396	Up	orf19.3426::ANB1	0.4548155246765692	0.4863999361124421	0.4313300742367068	0.4120977643804486	17.142857142857142	280	orf19.3426
40	40	ATP4	5.5	structure_change										ATP4	1.074013591	0.723865271	0.673981482	Down	orf19.3579::ATP4					28.33333333333333	60	orf19.3579
41	41	TOM6	5.400000000000006	structure_change										TOM6	1.505178485	1.121046692	0.744793195	Down	orf19.1650::TOM6					26.37362637362637	91	orf19.1650
42	42	RPS27	5.400000000000006	structure_change	orf19.6286.2::RPS27	0.8018308723698161	0.8227193378535986	orf19.6286.2	orf19.6286.2::RPS27		20.0	Other:Decay	faster	RPS27	0.593131366	1.13679875	1.916605351	Up	orf19.6286.2::RPS27	0.2589921737741575	0.2905765852100303	0.490594440743816	0.4581257659658848	21.804511278195488	266	orf19.6286.2
43	43	ATP1	5.399999999999999	structure_change	orf19.6854::ATP1	0.5928597563188305	0.6287000663784612	orf19.6854	orf19.6854::ATP1		20.0	Other:Decay	faster	ATP1	0.357712722	0.499728336	1.397010241	Up	orf19.6854::ATP1	0.4105973486663472	0.4042804663791726	0.4447875216090894	0.3755243176111759	29.0	100	orf19.6854
44	44	RPS10	5.399999999999999	structure_change	orf19.2179.2::RPS10	0.6960872504137381	0.7179968951140956	orf19.2179.2	orf19.2179.2::RPS10		20.0	Other:Decay	faster	RPS10	1.235240315	0.807777618	0.653943696	Down	orf19.2179.2::RPS10	0.2842597029228557	0.3158441143587286	0.5056170152479765	0.4622374736043887	25.52083333333333	192	orf19.2179.2
45	45	SCS7	5.399999999999992	structure_change	orf19.3822::SCS7	0.7023634919282559	0.7375507439686213	orf19.3822	orf19.3822::SCS7	>120	>120	Up:Up		SCS7	1.021073559	0.868196922	0.850278527	Down	orf19.3822::SCS7	0.1958233509024117	0.2116155566203482	0.5396050581079728	0.5067417394794749	30.275229357798164	109	orf19.3822
46	46	PFK1	5.300000000000004	structure_change	orf19.3967::PFK1	0.6380101714794094	0.65807590574626	orf19.3967						PFK1	0.873909746	0.650456588	0.744306367	Down	orf19.3967::PFK1	0.2653090560613321	0.2716259383485066	0.5393413754508483	0.5249225214014304	28.30188679245283	106	orf19.3967
47	47	RPL16A	5.299999999999997	structure_change	orf19.6085::RPL16A	0.7298863382991783	0.7422704479312523	orf19.6085	orf19.6085::RPL16A		20.0	Other:Decay	faster	RPL16A	1.400894818	0.983790343	0.702258535	Down	orf19.6085::RPL16A	0.3221609966459032	0.3600622903689506	0.4959375166286707	0.4259687244876017	31.446540880503143	159	orf19.6085
48	48	ENO1	5.200000000000003	structure_change	orf19.395::ENO1	0.5220276518368345	0.5557442513109335	orf19.395						ENO1	1.700220566	1.475931477	0.868082358	Down	orf19.395::ENO1	0.5495687589841878	0.517984347548315	0.4780242280678037	0.3581088473804509	24.705882352941178	85	orf19.395
49	49	ERG13	5.199999999999999	structure_change										ERG13	1.216024173	1.108937615	0.911937147	Down	orf19.7312::ERG13					22.22222222222222	108	orf19.7312
50	50	GSP1	5.0	structure_change	orf19.5493::GSP1	0.7357351479980865	0.778683733789536	orf19.5493						GSP1	2.003873633	1.44325852	0.720234298	Down	orf19.5493::GSP1	0.3790129372304743	0.429547995527871	0.3948259601190989	0.3998423727526091	29.87012987012987	231	orf19.5493
51	51	RPS3	5.0	structure_change	orf19.6312::RPS3	0.653550807667324	0.5700940819365591	orf19.6312	orf19.6312::RPS3		20.0	Other:Decay	faster	RPS3	1.234263427	1.187040397	0.96173991	Down	orf19.6312::RPS3	0.4105973486663472	0.4800830538252675	0.5006262790989322	0.4411730381374489	14.457831325301203	83	orf19.6312
52	52	COX5	4.900000000000006	structure_nochange	orf19.4759::COX5		0.6905426175953469	orf19.4759	orf19.4759::COX5		40.0	Other:Decay	faster	COX5	1.542064855	2.422108616	1.570691796	Up	orf19.4759::COX5					23.04147465437788	217	orf19.4759
53	53	MDH1-1	4.900000000000006	structure_nochange					orf19.4602::MDH1-1	>120		Up:Other	faster	MDH1-1	1.986226268	1.01337086	0.510199103	Down	orf19.4602::MDH1-1					24.615384615384617	65	orf19.4602
54	54	HHF22	4.700000000000003	structure_nochange	orf19.1854::HHF22	0.6130391800070294	0.6225909636279758	orf19.1854						HHF22	0.777992933	0.601842173	0.773583084	Down	orf19.1854::HHF22	0.3600622903689506	0.3221609966459032	0.4966636678659172	0.4978964504552213	22.105263157894736	95	orf19.1854
55	55	RPL9B	4.699999999999999	structure_nochange	orf19.236::RPL9B	0.779742443481136	0.7888228942149762	orf19.236	orf19.236::RPL9B		20.0	Other:Decay	faster	RPL9B	0.712006999	0.95876342	1.3465646	Up	orf19.236::RPL9B	0.5053505829739658	0.4358648778150455	0.461018982503496	0.4503806817584133	24.52830188679245	265	orf19.236
56	56	PGI1	4.699999999999996	structure_nochange	orf19.3888::PGI1	0.5666679074191697	0.5468724024343297	orf19.3888						PGI1	1.542371083	1.36241525	0.883325203	Down	orf19.3888::PGI1	0.2716259383485066	0.2558337326305702	0.6168929396949622	0.5968624901628178	26.02739726027397	73	orf19.3888
57	57	RPS6A	4.699999999999996	structure_nochange	orf19.4660::RPS6A	0.676017509952753	0.7068332711353231	orf19.4660	orf19.4660::RPS6A		20.0	Other:Decay	faster	RPS6A	0.017143351	0.2220611	12.95319112	Up	orf19.4660::RPS6A	0.7074908161635521	0.6380051110046319	0.3610743557092936	0.3720514943093298	24.324324324324323	185	orf19.4660
58	58	COX4	4.699999999999996	structure_nochange	orf19.1471::COX4	0.7184187513325254	0.7361611643402173	orf19.1471						COX4	0.679368354	0.654044894	0.962724993	Down	orf19.1471::COX4	0.3158441143587286	0.3126856732151414	0.4759181001111462	0.4737469087638782	28.71287128712872	303	orf19.1471
59	59	RPL39	4.600000000000001	structure_nochange	orf19.827.1::RPL39	0.5759298537269706	0.5788749936306683	orf19.827.1						RPL39	0.184250751	0.162011675	0.879299947	Down	orf19.827.1::RPL39	0.3158441143587286	0.3221609966459032	0.5081779500197843	0.5029530158952832	21.359223300970875	103	orf19.827.1
60	60	HGT7	4.600000000000001	structure_nochange	orf19.2023::HGT7	0.7458407088816496	0.7822506387261223	orf19.2023	orf19.2023::HGT7	>120		Up:Other	faster	HGT7	1.184593675	1.514022846	1.278094657	Up	orf19.2023::HGT7	0.4105973486663472	0.4674492892509184	0.4380268850199715	0.4464696817705813	19.428571428571427	175	orf19.2023
61	61	orf19.5334	4.400000000000006	structure_nochange	orf19.5334::orf19.5334		0.7912326615701011	orf19.5334											orf19.5334::orf19.5334					31.64983164983165	297	orf19.5334
62	62	YNK1	4.399999999999999	structure_nochange	orf19.4311::YNK1		0.7020354151264601	orf19.4311	orf19.4311::YNK1	20.0	40.0	Decay:Decay	slower	YNK1	0.840334767	0.844115359	1.004498912	Up	orf19.4311::YNK1					25.88235294117647	170	orf19.4311
63	63	LSC2	4.399999999999999	structure_nochange	orf19.1860::LSC2		0.5459830753643465	orf19.1860	orf19.1860::LSC2	>120		Up:Other	faster	LSC2	1.984170359	1.361223285	0.686041538	Down	orf19.1860::LSC2					21.73913043478261	92	orf19.1860
64	64	RPL37B	4.399999999999999	structure_nochange	orf19.667.1::RPL37B	0.7373038115088014	0.7628328995499971	orf19.667.1	orf19.667.1::RPL37B		20.0	Other:Decay	faster	RPL37B	0.160340157	0.116554071	0.72691753	Down	orf19.667.1::RPL37B	0.3158441143587286	0.3411116435074269	0.5128323747305148	0.460525535863617	24.12060301507538	199	orf19.667.1
65	65	TIF	4.300000000000004	structure_nochange	orf19.3324::TIF		0.7540607632586049	orf19.3324						TIF	1.848162605	1.609964535	0.871116281	Down	orf19.3324::TIF					23.85786802030457	197	orf19.3324
66	66	OLE1	4.300000000000004	structure_nochange	orf19.5117::OLE1	0.708485142100203	0.7479879123364837	orf19.5117	orf19.5117::OLE1	20.0		Decay:Other	slower	OLE1	0.716962226	0.746765481	1.041568794	Up	orf19.5117::OLE1	0.3158441143587286	0.3347947612202523	0.4837962556338579	0.4925077011665451	23.5	200	orf19.5117
67	67	TMA19	4.200000000000003	structure_nochange	orf19.3268::TMA19	0.6113115498278529	0.8211381387378307	orf19.3268	orf19.3268::TMA19		20.0	Other:Decay	faster	TMA19	0.987443562	0.809191904	0.819481675	Down	orf19.3268::TMA19	0.3948051429484108	0.3726960549432998	0.4501756011149496	0.4093921747199613	26.31578947368421	76	orf19.3268
68	68	SBP1	4.1000000000000085	structure_nochange	orf19.5854::SBP1	0.8131033182966187	0.8313890720842865	orf19.5854						SBP1	0.852268912	0.543432035	0.637629775	Down	orf19.5854::SBP1	0.3979635840919981	0.3916467018048235	0.4745624556240677	0.4657449363850984	27.11864406779661	354	orf19.5854
69	69	PDB1	4.100000000000001	structure_nochange										PDB1	1.559540081	1.485826415	0.952733715	Down	orf19.5294::PDB1					27.857142857142858	140	orf19.5294
